Adresas , Rajonas, Kambarių sk, Plotas, Kaina, Šildymas, Pastato tipas, Metai
 Subačiaus g.,Rasos,3,62.04,124100.0,Dujinis,Mūrinis,2019,
 Architektų g.,Lazdynai,4,77.8,85000.0,Centrinis,Blokinis,1970,
 T. Ševčenkos g.,Naujamiestis,3,73.23,155000.0,Dujinis,Mūrinis,1958statyba.2010renovacija,
 T. Ševčenkos g.,Naujamiestis,4,137.39,155000.0,Dujinis,Mūrinis,1958statyba.2010renovacija,
 Vytenio g.,Naujamiestis,2,48,68000.0,Centrinis,Blokinis,1961,
 Girulių g.,Pašilaičiai,3,76,83950.0,Centriniskolektorinis,Mūrinis,2008,
 Juodkrantės g.,Pilaitė,3,70.1,124900.0,Centriniskolektorinis,Mūrinis,2019,
 M. Mažvydo g.,Pilaitė,2,52,101600.0,Centriniskolektorinis,Mūrinis,2017,
 M. Valančiaus g.,Naujamiestis,3,80,375000.0,Centriniskolektorinis.kita,Mūrinis,2008,
 M. K. Čiurlionio g.,Naujamiestis,5,127,270000.0,Kita.elektra,Mūrinis,1998,
 Paribio g.,Žvėrynas,4,120,398000.0,Centriniskolektorinis.centrinis.kita,Mūrinis,2007,
 M. Valančiaus g.,Naujamiestis,2,52,165000.0,Centriniskolektorinis.centrinis,Mūrinis,2008,
 T. Kosciuškos g.,Senamiestis,4,90,340000.0,Centriniskolektorinis.centrinis,Mūrinis,2010,
 T. Kosciuškos g.,Antakalnis,4,90,340000.0,Centriniskolektorinis.centrinis,Mūrinis,2010,
 Polocko g.,Užupis,5,281,650000.0,Dujinis,Mūrinis,1999,
 Valonų g.,Kalnėnai,4,82,86000.0,Dujinis,Mūrinis,2019,
 Gedimino pr.,Naujamiestis,3,79,280000.0,Centrinis,Mūrinis,1959,
 Perkūnkiemio g.,Pašilaičiai,2,62.05,74500.0,Centriniskolektorinis,Mūrinis,2006,
 Eitminų g.,Pašilaičiai,2,52.07,76900.0,Centriniskolektorinis,Mūrinis,2011,
 Vydūno g.,Pilaitė,3,70.1,74900.0,Centrinis,Blokinis,1994,
 Laisvės pr.,Pašilaičiai,1,26,48000.0,Centriniskolektorinis,Mūrinis,2018,
 Ukmergės g.,Pašilaičiai,2,66.57,91600.0,Centriniskolektorinis,Mūrinis,2006,
 Fabijoniškių g.,Fabijoniškės,3,67,69999.0,Centrinis,Blokinis,1988,
 A. Strazdelio g.,Senamiestis,4,78.46,227000.0,Centriniskolektorinis,Mūrinis,2010,
 Trinapolio g.,Verkiai,4,142,286000.0,Geoterminis,Mūrinis,2018,
 Trinapolio g.,Verkiai,5,180,370000.0,Geoterminis,Mūrinis,2018,
 Bitėnų g.,Pilaitė,1,34,47500.0,Centriniskolektorinis,Mūrinis,2019,
 Tolimosios Sodų 4-oji g.,Pavilnys,4,85.55,147000.0,Dujinis,Mūrinis,2018,
 Žirgo g.,Antakalnis,4,114,150000.0,Dujinis,Mūrinis,2007,
 Rinktinės g.,Šnipiškės,2,30,118800.0,Centriniskolektorinis,Mūrinis,2018,
 Lvovo g.,Šnipiškės,2,62,134800.0,Centriniskolektorinis,Mūrinis,2018,
 Lvovo g.,Šnipiškės,2,33,84050.0,Centriniskolektorinis,Mūrinis,2018,
 Genių g.,Naujoji Vilnia,3,61,59500.0,Centrinis,Blokinis,1968,
 Šv. Stepono g.,Senamiestis,4,86.67,173000.0,Dujinis,Mūrinis,1940,
 Mykolo Sleževičiaus g.,Visoriai,2,38.4,75000.0,Centriniskolektorinis,Mūrinis,2019,
 Mykolo Sleževičiaus g.,Baltupiai,2,38.73,62500.0,Centriniskolektorinis,Mūrinis,2019,
 Miglos g.,Žvėrynas,3,64.24,73900.0,Centrinis,Mūrinis,1969,
 Latvių g.,Žvėrynas,1,38.7,86900.0,Centrinis,Mūrinis,1982,
 S. Žukausko g.,Šiaurės miestelis,2,54.39,92000.0,Centriniskolektorinis,Mūrinis,2002,
 Vandentiekio g.,Naujamiestis,4,78,124000.0,Dujinis,Mūrinis,1940,
 Krivių g.,Senamiestis,4,125,337500.0,Centriniskolektorinis,Mūrinis,2007,
 Perkūnkiemio g.,Pašilaičiai,3,60.58,70000.0,Centriniskolektorinis,Blokinis,2017,
